ec2_instance_type,ec2_instance_count,ec2_hours,ec2_pricing_model,codebuild_minutes,pipeline_count,s3_storage_gb,ecr_storage_gb,rds_instance_type,rds_hours,rds_storage_gb,data_transfer_out_gb,cloudwatch_logs_gb,region,environment,monthly_cost_usd
c5.xlarge,4,360,reserved,1067,5,109,65,db.m5.large,720,212,26,47,eu-west-1,dev,337.54
t3.micro,1,360,reserved,1152,3,121,27,db.t3.medium,720,243,120,28,us-east-1,dev,86.72
m5.large,4,360,spot,2175,4,78,80,db.t3.medium,720,244,188,28,eu-west-1,dev,155.12
t3.micro,6,360,reserved,919,5,179,19,db.t3.micro,720,258,52,5,eu-west-1,dev,44.63
t3.micro,4,360,reserved,2305,3,32,33,db.m5.large,720,188,193,16,us-east-1,prod,188.91
m5.xlarge,3,720,spot,2136,5,188,99,db.t3.medium,720,286,44,2,eu-west-1,prod,243.99
t3.micro,1,360,reserved,853,2,196,99,db.t3.medium,720,188,101,6,us-west-2,prod,81.44
m5.xlarge,2,360,reserved,2129,3,48,17,db.t3.micro,720,160,93,36,eu-west-1,dev,141.92
m5.large,6,720,reserved,2449,4,199,8,db.t3.medium,720,36,159,4,eu-west-1,prod,351.74
m5.large,2,360,spot,828,3,11,72,db.t3.medium,720,212,149,7,us-east-1,dev,104.39
t3.medium,6,360,spot,2010,2,200,33,db.t3.medium,720,123,117,1,eu-west-1,prod,113.16
m5.xlarge,2,360,spot,1785,2,100,68,db.t3.micro,720,267,144,25,eu-west-1,prod,111.02
t3.medium,5,360,reserved,1197,3,54,96,db.t3.medium,720,168,116,8,us-west-2,stage,128.18
m5.large,5,720,spot,1834,3,121,99,db.t3.micro,720,59,74,30,us-east-1,stage,193.99
m5.large,2,360,spot,1061,3,185,66,db.t3.medium,720,279,187,10,us-east-1,prod,113.88
m5.large,3,720,reserved,514,2,43,99,db.t3.micro,720,72,149,50,eu-west-1,prod,198.89
t3.small,2,720,on_demand,1225,1,174,97,db.t3.micro,720,118,129,37,us-west-2,prod,92.13
t3.medium,1,720,reserved,2297,1,169,86,db.t3.micro,720,286,32,40,us-east-1,prod,78.56
m5.xlarge,3,720,on_demand,868,1,56,59,db.t3.medium,720,27,169,37,us-east-1,stage,508.2
c5.large,1,720,spot,1680,2,64,10,db.t3.medium,720,34,147,24,us-east-1,prod,108.82
m5.xlarge,3,720,on_demand,2403,2,132,9,db.t3.medium,720,272,126,50,eu-west-1,dev,515.25
m5.xlarge,6,720,on_demand,460,5,48,15,db.t3.medium,720,149,36,29,us-west-2,prod,900.32
c5.large,2,360,spot,1447,1,26,93,db.t3.micro,720,214,149,14,us-west-2,stage,74.26
c5.large,1,360,reserved,1495,4,38,88,db.m5.large,720,264,20,35,us-west-2,dev,194.58
t3.small,2,360,spot,1183,5,134,65,db.t3.medium,720,233,83,26,eu-west-1,dev,90.2
t3.medium,2,720,on_demand,428,5,14,29,db.t3.medium,720,116,45,40,us-east-1,dev,137.56
c5.large,6,360,on_demand,2284,1,83,58,db.m5.large,720,209,100,34,eu-west-1,prod,366.97
m5.large,5,360,spot,1634,1,16,36,db.m5.large,720,194,112,40,us-east-1,dev,249.58
t3.small,4,360,on_demand,1433,2,102,80,db.t3.micro,720,171,100,45,us-west-2,prod,91.2
t3.medium,4,720,reserved,1209,3,149,83,db.t3.micro,720,300,188,34,eu-west-1,stage,141.81
m5.xlarge,2,720,reserved,1938,3,169,47,db.m5.large,720,54,47,5,us-east-1,stage,342.96
m5.xlarge,5,360,reserved,806,2,176,90,db.t3.medium,720,214,185,50,us-east-1,stage,331.61
t3.small,3,360,spot,821,5,82,100,db.t3.micro,720,133,10,18,eu-west-1,stage,47.12
c5.xlarge,1,720,reserved,552,5,83,45,db.t3.medium,720,55,122,27,eu-west-1,dev,161.45
m5.large,4,720,on_demand,208,5,76,63,db.m5.large,720,298,199,4,eu-west-1,dev,443.72
m5.xlarge,3,720,on_demand,1512,4,42,13,db.t3.micro,720,61,37,6,us-west-2,prod,443.12
t3.small,6,360,on_demand,1905,2,123,72,db.t3.micro,720,214,194,4,eu-west-1,stage,96.18
c5.xlarge,1,360,spot,2196,4,170,71,db.t3.medium,720,68,58,3,us-east-1,stage,101.43
m5.large,3,360,spot,2025,3,54,85,db.t3.medium,720,161,91,21,us-east-1,prod,128.27
t3.medium,2,720,spot,814,4,95,14,db.t3.medium,720,194,120,23,us-east-1,stage,102.16
m5.large,3,360,spot,576,3,51,25,db.m5.large,720,127,35,6,eu-west-1,prod,192.42
m5.large,2,360,spot,762,3,115,13,db.t3.medium,720,174,197,32,us-east-1,dev,117.37
m5.xlarge,1,720,reserved,1228,3,146,53,db.m5.large,720,155,148,40,us-east-1,prod,276.21
c5.large,4,360,spot,1694,3,89,40,db.m5.large,720,54,183,14,us-east-1,prod,225.19
m5.large,5,360,reserved,902,3,10,40,db.m5.large,720,260,46,23,eu-west-1,prod,274.94
m5.xlarge,6,720,reserved,806,4,190,80,db.t3.micro,720,68,174,25,us-east-1,prod,595.94
t3.micro,6,360,reserved,2234,5,109,89,db.t3.medium,720,181,164,36,us-west-2,dev,118.18
t3.large,4,360,spot,2173,1,149,64,db.m5.large,720,224,48,10,us-east-1,stage,216.18
m5.xlarge,1,360,reserved,345,4,140,57,db.t3.micro,720,246,148,19,eu-west-1,stage,90.63
t3.micro,2,720,on_demand,931,3,22,94,db.t3.medium,720,259,47,18,eu-west-1,stage,91.01
c5.large,3,360,spot,1809,1,115,8,db.t3.micro,720,209,14,10,us-east-1,stage,67.71
m5.large,5,720,spot,1705,4,90,20,db.t3.micro,720,300,159,24,us-east-1,prod,189.38
t3.micro,4,720,on_demand,714,1,43,5,db.t3.micro,720,179,20,38,us-east-1,dev,68.05
t3.large,1,720,spot,1630,1,144,21,db.t3.medium,720,97,188,8,us-east-1,prod,106.68
t3.medium,2,720,spot,1759,3,149,71,db.t3.micro,720,223,34,6,us-west-2,stage,61.58
t3.small,1,360,spot,2414,3,113,43,db.t3.medium,720,20,71,1,us-west-2,stage,77.09
t3.micro,6,360,on_demand,1218,3,174,21,db.t3.medium,720,223,55,27,us-east-1,prod,101.35
t3.small,3,720,reserved,786,1,111,32,db.t3.medium,720,59,148,2,us-east-1,stage,101.45
t3.micro,3,720,reserved,2115,3,182,97,db.m5.large,720,285,135,49,us-west-2,prod,213.95
c5.large,5,360,on_demand,731,3,150,11,db.t3.medium,720,84,79,42,us-east-1,prod,237.56
t3.small,5,720,on_demand,446,5,185,64,db.t3.micro,720,23,15,36,us-east-1,dev,119.35
c5.large,5,360,reserved,950,2,63,25,db.t3.medium,720,179,98,23,eu-west-1,prod,176.71
c5.large,4,360,reserved,907,5,70,65,db.t3.medium,720,104,69,17,us-east-1,prod,155.16
t3.medium,2,720,on_demand,805,1,24,76,db.m5.large,720,169,23,7,us-east-1,stage,215.89
t3.large,5,720,spot,2333,4,10,61,db.t3.medium,720,219,138,14,us-east-1,stage,205.46
m5.large,4,720,reserved,1714,4,146,76,db.m5.large,720,289,108,23,us-west-2,prod,358.7
m5.xlarge,1,360,spot,1845,5,30,12,db.t3.micro,720,22,103,41,us-west-2,prod,80.77
c5.large,4,360,spot,1509,1,132,38,db.t3.micro,720,46,38,25,us-west-2,dev,91.5
m5.large,4,720,on_demand,2265,5,119,62,db.t3.micro,720,251,5,9,us-east-1,stage,313.93
t3.large,5,720,on_demand,1069,3,37,71,db.m5.large,720,103,146,49,eu-west-1,dev,488.7
t3.medium,6,720,spot,1273,1,122,78,db.t3.medium,720,161,36,17,us-east-1,stage,148.84
m5.large,4,720,reserved,2001,3,65,75,db.t3.medium,720,201,135,8,eu-west-1,stage,263.1
t3.large,3,360,on_demand,1497,1,39,7,db.m5.large,720,284,162,38,eu-west-1,dev,270.76
t3.medium,2,720,reserved,1332,4,123,6,db.t3.micro,720,239,102,24,us-west-2,stage,82.45
t3.medium,4,360,on_demand,318,3,149,66,db.t3.medium,720,281,54,41,eu-west-1,prod,145.12
t3.medium,5,720,spot,2148,5,13,48,db.t3.medium,720,247,147,6,us-west-2,dev,140.21
t3.micro,2,360,spot,419,2,27,41,db.t3.micro,720,46,129,34,us-east-1,stage,50.66
m5.large,2,360,reserved,2062,2,64,84,db.t3.micro,720,68,17,34,us-east-1,dev,95.88
t3.small,4,360,on_demand,2146,1,96,65,db.t3.medium,720,204,76,32,eu-west-1,prod,120.47
t3.large,3,360,spot,1939,2,115,70,db.t3.medium,720,75,5,15,eu-west-1,stage,111.47
m5.xlarge,3,720,reserved,1434,1,143,59,db.t3.micro,720,172,104,44,eu-west-1,dev,329.53
t3.medium,3,360,on_demand,1402,3,12,67,db.t3.micro,720,30,144,2,eu-west-1,dev,85.11
t3.small,3,720,spot,203,4,64,38,db.m5.large,720,180,143,33,eu-west-1,prod,191.87
c5.xlarge,2,720,on_demand,1134,2,20,56,db.t3.micro,720,253,85,38,us-west-2,prod,295.42
t3.small,6,360,spot,658,3,32,55,db.t3.micro,720,146,152,33,us-west-2,prod,69.92
t3.large,3,360,spot,1188,3,112,54,db.t3.micro,720,47,5,17,us-east-1,stage,71.05
m5.large,3,360,on_demand,519,3,163,79,db.t3.micro,720,122,22,37,us-east-1,stage,150.64
t3.medium,2,360,on_demand,2399,4,147,11,db.t3.micro,720,52,32,16,us-east-1,prod,69.55
m5.large,5,360,spot,1192,3,122,74,db.t3.medium,720,259,42,42,us-east-1,stage,158.31
t3.large,3,360,on_demand,1505,3,133,28,db.t3.medium,720,96,122,49,eu-west-1,prod,186.96
t3.small,3,360,spot,795,1,131,27,db.m5.large,720,38,45,39,us-east-1,dev,180.46
t3.micro,5,720,spot,819,3,90,34,db.t3.medium,720,106,93,6,us-west-2,prod,84.15
c5.large,6,360,reserved,1301,1,99,49,db.t3.micro,720,71,6,8,us-west-2,prod,149.8
c5.xlarge,2,360,reserved,823,2,32,72,db.t3.medium,720,196,15,50,us-east-1,prod,166.2
t3.medium,1,360,reserved,948,1,161,42,db.m5.large,720,264,170,31,eu-west-1,stage,191.42
c5.xlarge,5,720,spot,2297,4,198,19,db.t3.micro,720,188,43,16,eu-west-1,prod,286.85
t3.micro,6,360,spot,252,2,39,50,db.t3.micro,720,169,174,28,us-east-1,prod,58.04
m5.large,3,720,on_demand,1892,3,129,29,db.m5.large,720,140,196,28,us-east-1,prod,392.57
c5.large,2,720,spot,2383,5,113,37,db.t3.micro,720,22,187,39,eu-west-1,dev,115.74
c5.large,1,720,on_demand,1501,3,11,47,db.m5.large,720,181,36,47,us-west-2,dev,238.64
t3.large,4,720,spot,2277,3,66,12,db.t3.micro,720,54,169,12,us-west-2,prod,143.4
t3.large,3,360,reserved,922,3,101,84,db.m5.large,720,250,138,13,eu-west-1,stage,230.9
t3.small,1,720,reserved,425,2,192,78,db.m5.large,720,56,18,21,eu-west-1,dev,174.44
c5.large,5,720,on_demand,632,3,191,86,db.t3.medium,720,37,75,45,us-east-1,dev,399.64
c5.large,3,720,reserved,904,3,93,31,db.t3.micro,720,168,54,42,us-east-1,prod,167.2
t3.medium,5,720,spot,1155,3,103,81,db.t3.medium,720,24,57,49,us-west-2,stage,154.02
t3.large,3,360,on_demand,2163,5,176,75,db.t3.micro,720,189,8,1,eu-west-1,prod,125.68
t3.large,1,720,spot,1219,4,96,74,db.t3.micro,720,136,99,47,us-west-2,stage,84.31
c5.xlarge,5,720,reserved,2350,5,95,46,db.m5.large,720,32,93,11,eu-west-1,stage,568.45
c5.xlarge,1,360,reserved,1312,5,108,10,db.t3.micro,720,128,142,20,us-west-2,dev,84.84
t3.medium,6,360,spot,1628,5,17,49,db.t3.medium,720,47,172,39,eu-west-1,dev,132.59
t3.large,5,360,spot,1438,2,37,86,db.t3.medium,720,292,149,31,us-west-2,prod,153.69
c5.xlarge,4,360,spot,574,5,128,69,db.t3.medium,720,145,119,49,us-west-2,dev,194.08
m5.xlarge,6,360,on_demand,1025,4,137,41,db.m5.large,720,89,73,34,us-west-2,dev,588.91
t3.small,4,720,reserved,901,4,124,41,db.t3.medium,720,108,88,44,eu-west-1,dev,128.55
t3.large,6,720,reserved,1455,5,92,93,db.t3.medium,720,165,193,26,us-east-1,dev,330.93
t3.medium,1,720,reserved,301,2,107,64,db.m5.large,720,235,49,33,us-west-2,dev,188.98
t3.micro,3,720,on_demand,1954,5,196,27,db.m5.large,720,262,93,34,eu-west-1,prod,203.05
t3.micro,6,720,reserved,2003,1,178,58,db.t3.medium,720,73,51,19,us-west-2,prod,111.44
t3.micro,2,360,reserved,446,3,200,92,db.t3.medium,720,60,43,44,us-east-1,prod,95.01
c5.xlarge,4,720,reserved,1952,3,102,22,db.m5.large,720,135,154,18,us-west-2,stage,493.65
t3.medium,3,720,reserved,957,2,14,43,db.t3.micro,720,239,196,5,us-east-1,prod,100.19
m5.large,4,360,spot,1373,1,15,80,db.t3.micro,720,231,196,47,us-east-1,prod,123.89
t3.small,4,720,spot,2146,4,42,70,db.t3.micro,720,296,172,10,us-east-1,prod,75.38
m5.xlarge,2,360,spot,1149,3,107,25,db.t3.micro,720,40,40,5,us-west-2,stage,84.34
c5.large,4,720,spot,1785,5,58,30,db.t3.micro,720,232,171,7,us-east-1,stage,142.31
m5.xlarge,3,360,spot,1912,1,178,38,db.m5.large,720,124,143,25,us-east-1,prod,264.01
m5.xlarge,2,360,reserved,2435,3,130,55,db.m5.large,720,224,94,38,us-east-1,dev,276.22
t3.small,4,720,spot,1759,1,177,88,db.t3.medium,720,200,77,50,us-west-2,dev,125.8
t3.medium,2,360,on_demand,1008,3,198,18,db.t3.micro,720,104,164,3,eu-west-1,prod,69.85
c5.large,2,720,spot,1539,2,167,68,db.t3.micro,720,62,192,25,eu-west-1,prod,109.32
m5.xlarge,3,720,on_demand,637,2,123,10,db.m5.large,720,103,183,28,us-east-1,prod,590.44
m5.xlarge,4,360,spot,2052,5,116,69,db.t3.medium,720,111,92,34,us-east-1,stage,203.94
t3.small,2,360,spot,921,2,67,91,db.t3.medium,720,262,71,12,us-east-1,dev,81.87
t3.micro,4,720,on_demand,2296,2,45,70,db.t3.micro,720,289,185,6,us-east-1,prod,81.36
c5.large,4,360,reserved,1139,1,121,82,db.t3.micro,720,193,133,24,us-west-2,stage,132.45
t3.micro,5,360,spot,968,1,136,37,db.t3.micro,720,204,102,3,us-west-2,dev,42.08
c5.large,6,720,spot,303,4,109,73,db.m5.large,720,292,156,24,us-east-1,dev,322.48
c5.large,5,360,spot,1840,3,170,63,db.t3.micro,720,106,64,49,us-west-2,stage,123.11
t3.large,6,360,on_demand,353,4,138,26,db.t3.micro,720,300,72,22,eu-west-1,prod,216.97
t3.large,3,720,reserved,2136,3,98,51,db.m5.large,720,233,115,3,us-east-1,prod,284.94
t3.small,2,720,reserved,2260,4,58,71,db.t3.medium,720,120,93,7,us-east-1,prod,99.31
c5.xlarge,1,720,on_demand,1659,5,153,75,db.t3.micro,720,238,19,35,us-west-2,stage,173.16
t3.large,1,360,spot,1878,2,19,72,db.m5.large,720,138,92,19,eu-west-1,dev,185.03
m5.large,2,360,spot,1902,3,86,91,db.t3.medium,720,151,179,36,eu-west-1,dev,130.59
c5.xlarge,1,360,spot,1506,4,183,71,db.t3.medium,720,23,69,40,us-west-2,stage,117.77
t3.micro,5,720,on_demand,1132,5,162,9,db.t3.medium,720,148,104,35,us-west-2,stage,122.83
t3.medium,4,720,reserved,1236,4,96,18,db.t3.micro,720,183,198,36,us-west-2,dev,136.12
t3.micro,6,720,on_demand,2125,2,151,75,db.t3.medium,720,246,65,36,eu-west-1,dev,138.62
c5.xlarge,6,360,reserved,251,2,12,66,db.t3.micro,720,226,144,22,us-east-1,prod,283.01
t3.medium,4,720,on_demand,1441,3,120,79,db.t3.medium,720,100,188,8,us-west-2,stage,206.83
m5.large,4,360,on_demand,1737,5,113,85,db.t3.medium,720,122,14,47,us-east-1,prod,231.02
c5.large,6,360,reserved,751,5,187,90,db.t3.micro,720,80,139,2,us-west-2,stage,162.15
m5.xlarge,3,720,reserved,938,5,151,26,db.t3.medium,720,130,8,50,eu-west-1,dev,354.29
c5.xlarge,4,360,on_demand,2130,1,77,57,db.t3.micro,720,273,43,26,us-west-2,prod,292.03
t3.micro,5,360,spot,499,5,158,28,db.m5.large,720,49,124,30,us-west-2,prod,180.82
t3.large,6,360,on_demand,2383,1,146,93,db.m5.large,720,87,143,27,us-west-2,stage,368.9
t3.small,1,720,on_demand,1678,2,95,83,db.m5.large,720,149,11,47,us-east-1,dev,196.58
t3.medium,4,360,on_demand,2316,1,116,72,db.m5.large,720,118,48,4,eu-west-1,stage,225.91
t3.micro,6,360,on_demand,890,3,32,87,db.m5.large,720,87,95,22,eu-west-1,prod,194.14
t3.medium,3,360,on_demand,1087,4,153,68,db.t3.medium,720,267,129,31,us-west-2,prod,136.03
c5.large,4,360,on_demand,1135,5,65,84,db.t3.medium,720,109,198,48,eu-west-1,prod,228.03
t3.medium,6,360,spot,2484,3,190,74,db.t3.medium,720,139,137,44,us-west-2,stage,142.7
c5.large,2,720,spot,1090,5,51,53,db.m5.large,720,85,173,37,us-west-2,stage,233.19
c5.xlarge,3,720,on_demand,1442,5,29,8,db.m5.large,720,288,130,9,us-west-2,stage,530.32
m5.large,1,720,on_demand,1805,4,93,53,db.t3.micro,720,80,32,16,us-west-2,prod,108.7
m5.large,5,720,on_demand,774,2,153,43,db.t3.medium,720,84,112,4,us-east-1,dev,417.61
t3.micro,3,360,on_demand,240,4,148,14,db.t3.medium,720,210,141,44,us-west-2,prod,100.17
t3.large,2,720,on_demand,1595,3,126,79,db.m5.large,720,204,48,46,us-east-1,stage,304.14
t3.medium,5,720,spot,1399,5,19,92,db.m5.large,720,123,182,13,us-east-1,prod,237.66
t3.large,1,720,spot,1378,4,106,31,db.t3.micro,720,282,40,1,eu-west-1,dev,52.73
t3.micro,2,360,on_demand,683,1,53,30,db.m5.large,720,76,74,20,eu-west-1,dev,170.02
m5.xlarge,6,360,reserved,2197,4,59,54,db.t3.medium,720,232,69,20,eu-west-1,prod,351.76
t3.medium,1,360,reserved,339,2,145,58,db.m5.large,720,257,70,50,us-east-1,dev,190.1
t3.micro,5,720,spot,1492,1,10,19,db.m5.large,720,260,173,24,us-west-2,prod,190.38
c5.large,1,360,on_demand,1013,3,88,42,db.m5.large,720,217,187,29,us-west-2,dev,211.46
c5.xlarge,1,720,spot,2411,4,61,42,db.m5.large,720,194,118,3,us-west-2,prod,216.98
c5.xlarge,6,360,on_demand,937,3,138,77,db.t3.medium,720,231,59,39,us-west-2,stage,455.81
m5.xlarge,2,720,spot,737,3,83,83,db.t3.micro,720,154,68,39,us-west-2,dev,162.35
m5.large,6,720,reserved,480,4,20,17,db.m5.large,720,148,139,30,eu-west-1,stage,439.88
c5.xlarge,3,360,on_demand,2424,4,74,90,db.t3.medium,720,169,132,39,us-west-2,prod,286.04
t3.medium,3,720,spot,2496,3,36,89,db.t3.micro,720,117,99,21,eu-west-1,prod,89.8
c5.large,2,720,spot,2068,3,164,68,db.t3.micro,720,117,51,46,eu-west-1,stage,109.7
m5.xlarge,3,360,spot,657,5,177,33,db.t3.micro,720,52,194,12,us-east-1,stage,129.3
m5.xlarge,2,720,reserved,1151,5,161,93,db.m5.large,720,131,23,26,eu-west-1,prod,351.78
t3.small,3,720,reserved,2290,2,192,34,db.m5.large,720,294,80,17,eu-west-1,stage,202.41
t3.medium,4,360,reserved,1316,3,135,100,db.t3.medium,720,271,192,13,us-east-1,dev,130.64
c5.large,2,720,reserved,1665,1,83,54,db.m5.large,720,31,55,31,us-east-1,dev,253.88
c5.xlarge,5,720,spot,2466,3,125,78,db.m5.large,720,260,14,48,us-east-1,prod,431.31
m5.xlarge,5,360,reserved,260,5,120,27,db.t3.medium,720,145,103,17,eu-west-1,stage,297.41
t3.small,1,360,spot,1137,3,13,54,db.m5.large,720,130,69,39,us-east-1,stage,178.33
m5.xlarge,2,720,on_demand,1270,3,180,69,db.t3.micro,720,280,165,47,eu-west-1,prod,344.46
c5.xlarge,1,720,on_demand,929,5,182,20,db.m5.large,720,137,175,43,eu-west-1,dev,308.72
t3.medium,5,720,spot,1930,4,33,95,db.t3.medium,720,269,103,21,eu-west-1,prod,147.82
c5.xlarge,5,360,on_demand,1290,3,182,45,db.t3.micro,720,211,169,3,us-west-2,prod,350.09
m5.large,2,720,on_demand,1320,4,91,44,db.m5.large,720,33,11,28,us-east-1,stage,304.56
t3.medium,1,720,spot,1547,4,112,41,db.m5.large,720,79,24,49,us-east-1,stage,191.29
t3.large,1,360,spot,2051,3,112,40,db.t3.micro,720,103,179,43,eu-west-1,dev,78.66
c5.large,1,720,spot,606,3,140,63,db.m5.large,720,118,41,3,eu-west-1,stage,180.46
m5.large,2,360,reserved,321,4,153,76,db.t3.micro,720,171,86,39,us-west-2,stage,97.13
c5.xlarge,5,720,spot,1919,4,112,38,db.m5.large,720,216,131,13,us-east-1,prod,417.3
c5.xlarge,2,360,spot,1359,4,119,73,db.t3.micro,720,194,165,47,us-west-2,dev,116.38
c5.xlarge,3,360,reserved,2440,4,42,84,db.t3.micro,720,127,132,11,us-west-2,dev,170.53
m5.xlarge,1,360,reserved,1003,1,165,69,db.m5.large,720,169,11,46,eu-west-1,stage,222.87
c5.large,4,360,spot,1881,2,18,27,db.m5.large,720,198,124,50,us-west-2,prod,235.88
c5.large,3,720,on_demand,586,3,65,98,db.t3.medium,720,158,163,34,eu-west-1,dev,277.74
